Date,total_pnl,avg_pnl_per_trade,trade_count,pnl_volatility,total_volume,avg_trade_size,active_traders,buy_ratio,win_rate,profit_factor,classification,value,sentiment_score
10/15/2024,1170.2261,167.1752,7,347.7876,81173.36,11596.1943,1,0,0.571428571,1.441638119,Greed,65,4
10/16/2024,219.4809,19.9528,11,35.5816,80229.17,7293.5609,1,0,0.272727273,0.273567457,Greed,73,4
10/17/2024,36.115,4.0128,9,12.8304,140531.75,15614.6389,2,0,0.111111111,0.025698819,Greed,71,4
10/18/2024,333.2191,55.5365,6,51.4896,120331.43,20055.2383,1,0,0.833333333,0.27691776,Greed,73,4
10/19/2024,0,0,4,0,99996.86,24999.215,1,0,0,0,Greed,72,4
10/20/2024,389.1558,4.0537,96,13.652,176447.86,1837.9985,2,0,0.114583333,0.220550025,Greed,73,4
10/21/2024,2464.9156,14.2481,173,40.0799,324117.99,1873.5144,2,0,0.393063584,0.760499471,Greed,72,4
10/22/2024,0,0,3,0,60000.36,20000.12,1,0,0,0,Greed,70,4
10/23/2024,-46.4899,-2.5828,18,6.3771,210006.07,11667.0039,1,0,0,-0.022137408,Greed,71,4
10/25/2024,13235.8621,441.1954,30,1366.4039,427883.18,14262.7727,2,0,0.7,3.093335452,Greed,72,4
10/27/2024,666.6623,166.6656,4,293.9572,90664.41,22666.1025,1,0,0.75,0.735307603,Greed,74,4
10/28/2024,167.2802,12.8677,13,44.4545,121495.25,9345.7885,2,0,0.307692308,0.13768456,Greed,72,4
10/29/2024,801.1709,15.1164,53,99.6847,613267.81,11571.0908,2,0,0.056603774,0.130639647,Greed,72,4
10/30/2024,9.15,0.366,25,1.0257,11830.85,473.234,1,0,0.28,0.077340174,Extreme Greed,77,5
10/31/2024,1214.0438,25.2926,48,33.0041,896173.36,18670.2783,3,0,0.708333333,0.135469749,Extreme Greed,77,5
11/1/2024,1040.4757,45.2381,23,154.1984,260981.03,11347.0013,2,0,0.260869565,0.39867867,Extreme Greed,75,5
11/2/2024,0,0,2,0,40000,20000,1,0,0,0,Greed,72,4
11/3/2024,0,0,6,0,129055.66,21509.2767,2,0,0,0,Greed,74,4
11/4/2024,2799.4105,77.7614,36,118.9429,451811.97,12550.3325,2,0,0.638888889,0.619596356,Greed,70,4
11/5/2024,678.4759,67.8476,10,93.3211,200627.23,20062.723,1,0,0.5,0.338177375,Greed,70,4
11/6/2024,2817.8372,187.8558,15,309.1497,123906.9,8260.46,2,0,0.466666667,2.274156806,Greed,70,4
11/7/2024,4493.3531,39.7642,113,107.4042,111335.3,985.2681,3,0,0.530973451,4.035874606,Extreme Greed,77,5
11/8/2024,-64.4135,-1.6516,39,72.4018,270700.44,6941.0369,2,0,0.153846154,-0.023795122,Extreme Greed,75,5
